,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
272,San Diego State NCAA,31,23,8,.742,13.74,6.12,,13,4,,14,1,,5,5,,2024,1788,,65.2,99.3,.313,.308,.519,51.8,50.1,11.4,14.4,.488,16.8,29.6,.217
273,San Diego,31,15,16,.484,-2.92,1.87,,7,9,,8,6,,5,8,,2041,2086,,67.4,96.9,.258,.283,.506,50.6,40.0,7.5,8.6,.476,16.1,27.0,.184
274,San Francisco NCAA,33,24,9,.727,14.78,5.47,,10,6,,14,4,,7,2,,2543,2212,,70.9,108.7,.289,.450,.560,53.7,47.5,10.9,11.5,.537,15.8,30.4,.201
275,San Jose State,31,8,23,.258,-6.56,4.24,,1,17,,7,9,,1,13,,1993,2242,,66.3,96.6,.223,.451,.525,46.2,55.0,7.8,8.2,.507,17.7,22.4,.147
276,Santa Clara,33,21,12,.636,9.33,3.97,,10,5,,14,4,,5,6,,2550,2373,,71.4,107.8,.276,.321,.575,50.4,52.5,8.3,8.8,.545,14.7,22.8,.210
277,Seattle,32,23,9,.719,2.29,-3.78,,14,4,,17,2,,6,6,,2395,2132,,71.8,103.8,.280,.458,.531,50.3,52.6,9.6,10.1,.494,14.1,26.4,.214
278,Seton Hall NCAA,31,21,10,.677,13.88,8.62,,11,8,,13,3,,6,5,,2260,2056,,68.8,105.6,.314,.358,.525,52.2,40.5,10.2,14.0,.484,14.7,33.0,.238
279,Siena,29,15,14,.517,-6.78,-3.88,,12,8,,8,5,,7,8,,1922,2006,,67.2,97.4,.289,.340,.521,48.2,42.1,9.1,9.8,.487,16.5,24.5,.212
280,South Alabama,30,19,11,.633,0.94,-3.14,,9,7,,13,2,,4,8,,2141,1895,,67.5,105.3,.321,.352,.547,49.9,44.3,10.1,14.2,.517,16.2,28.9,.226
281,South Carolina State,31,15,16,.484,-12.85,-8.20,,7,7,,8,5,,5,8,,2227,2249,,73.7,96.3,.312,.324,.478,52.9,47.6,8.9,10.1,.441,16.4,35.7,.215
282,South Carolina Upstate,31,15,16,.484,-9.11,-4.18,,10,6,,6,7,,8,8,,2208,2258,,69.5,101.7,.284,.385,.550,47.3,53.8,9.1,9.9,.518,16.4,22.2,.213
283,South Carolina,31,18,13,.581,7.43,8.66,,9,9,,12,4,,4,7,,2200,2178,,72.2,98.0,.286,.349,.506,51.3,53.6,10.8,13.7,.479,17.8,34.3,.192
284,South Dakota State NCAA,34,30,4,.882,7.21,-3.76,,18,0,,14,0,,10,3,,2948,2495,,71.9,120.2,.338,.353,.631,53.0,48.9,8.4,6.8,.604,13.8,24.4,.257
285,South Dakota,31,19,12,.613,-3.92,-5.09,,11,7,,11,4,,6,7,,2329,2198,,67.5,110.5,.337,.332,.564,52.9,44.6,6.5,6.6,.528,13.0,27.1,.253
286,South Florida,31,8,23,.258,-2.85,4.60,,3,15,,6,10,,2,9,,1781,2012,,65.9,87.2,.254,.306,.444,50.0,50.6,9.4,11.9,.413,16.2,29.6,.169
287,Southeast Missouri State,32,14,18,.438,-6.85,-4.35,,8,9,,8,5,,5,10,,2418,2473,,72.6,103.7,.366,.436,.551,48.1,54.5,8.9,7.3,.512,16.1,25.7,.268
288,Southeastern Louisiana,33,19,14,.576,-8.97,-5.66,,10,4,,10,1,,5,10,,2611,2573,,73.6,107.1,.371,.427,.577,47.3,57.1,10.7,10.1,.538,17.2,26.6,.281
289,Southern California NCAA,33,26,7,.788,13.14,6.47,,14,6,,13,3,,9,3,,2395,2175,,67.5,106.8,.309,.320,.535,54.2,52.8,7.5,11.3,.511,15.1,33.8,.206
290,SIU Edwardsville,32,11,21,.344,-10.02,-4.35,,5,13,,8,5,,3,13,,2161,2238,,69.1,96.6,.336,.350,.504,51.4,51.0,10.2,11.1,.469,18.4,34.1,.232
291,Southern Illinois,31,16,15,.516,3.16,1.06,,9,9,,11,4,,4,8,,1985,1902,,62.9,101.7,.290,.422,.545,49.6,52.2,8.7,6.0,.520,16.3,22.7,.200
292,Southern Methodist,31,23,8,.742,11.78,4.59,,13,4,,16,0,,6,5,,2305,2082,,69.4,106.7,.359,.425,.559,50.5,55.4,9.0,10.5,.521,15.6,27.7,.266
293,Southern Mississippi,33,7,26,.212,-13.49,-0.30,,1,17,,3,11,,1,14,,2126,2471,,68.3,93.7,.270,.303,.505,48.0,50.7,7.3,8.1,.477,17.3,23.6,.186
294,Southern Utah,31,20,11,.645,-1.95,-5.12,,14,6,,11,3,,7,7,,2430,2257,,71.2,108.3,.350,.404,.558,53.2,42.2,8.7,7.2,.526,15.2,28.9,.250
295,Southern,31,17,14,.548,-4.87,-6.67,,11,6,,9,2,,8,11,,2229,2103,,72.1,99.3,.347,.336,.533,47.7,52.5,14.5,7.8,.500,17.7,27.7,.242
296,St. Bonaventure,30,21,9,.700,8.25,4.28,,12,5,,13,2,,5,4,,2110,1991,,66.6,105.1,.265,.314,.536,50.3,52.3,9.6,15.5,.504,13.9,27.3,.199
297,St. Francis (NY),30,10,20,.333,-13.35,-7.80,,7,11,,3,9,,7,9,,2017,2116,,68.2,97.7,.243,.366,.496,49.4,47.9,9.7,6.6,.467,15.4,30.0,.173
298,St. John's (NY),32,17,15,.531,12.07,6.64,,8,11,,12,7,,4,7,,2547,2373,,74.2,106.4,.261,.324,.530,49.3,61.9,11.8,14.5,.508,13.7,30.7,.176
299,St. Thomas (MN),30,10,20,.333,-10.68,-5.12,,4,14,,5,8,,3,12,,2241,2260,,68.2,109.5,.223,.515,.558,45.5,47.1,7.6,3.8,.533,10.8,18.0,.169
300,Stanford,32,16,16,.500,6.83,9.15,,8,12,,10,5,,3,9,,2124,2198,,66.8,99.0,.299,.387,.522,55.1,54.4,8.3,7.6,.498,19.1,33.8,.197
301,Stephen F. Austin,31,22,9,.710,3.38,-1.25,,14,4,,13,3,,7,4,,2317,2110,,71.9,103.6,.356,.309,.554,52.2,55.3,12.5,12.1,.527,19.6,34.7,.241
302,Stetson,30,11,19,.367,-10.20,-3.93,,5,11,,7,8,,4,11,,2090,2144,,67.5,101.6,.248,.410,.525,51.0,56.2,10.3,8.4,.502,16.4,29.6,.171
303,Stony Brook,31,18,13,.581,-6.63,-5.43,,10,8,,13,4,,5,9,,2261,2267,,68.6,106.0,.269,.403,.539,48.8,42.5,9.7,8.1,.506,13.5,27.0,.203
304,Syracuse,33,16,17,.485,9.89,7.59,,9,11,,11,5,,3,8,,2553,2477,,68.5,110.9,.283,.392,.555,49.0,52.6,10.0,11.6,.525,13.3,29.2,.208
305,Tarleton State,31,14,17,.452,-2.82,-0.15,,9,9,,10,5,,4,12,,2002,2025,,65.7,97.8,.343,.304,.511,47.1,49.5,11.6,7.4,.465,16.2,28.0,.259
306,Temple,29,17,12,.586,4.77,4.46,,10,7,,11,3,,5,6,,1936,1927,,67.1,98.6,.397,.382,.495,51.7,52.7,10.0,12.6,.454,15.7,32.7,.269
307,Tennessee-Martin,30,8,22,.267,-10.85,-2.75,,4,14,,5,8,,2,13,,2067,2206,,70.6,97.6,.263,.373,.500,49.5,46.3,9.4,12.2,.471,16.2,30.5,.184
308,Tennessee State,32,14,18,.438,-9.02,-6.99,,8,10,,8,5,,5,11,,2282,2246,,69.8,101.8,.318,.326,.535,51.2,47.6,9.6,9.7,.502,17.2,30.4,.227
309,Tennessee Tech,32,11,21,.344,-7.06,-2.82,,7,10,,7,7,,3,12,,2328,2357,,70.6,102.2,.235,.328,.524,50.9,57.1,10.2,10.0,.505,16.0,31.6,.155
310,Tennessee NCAA,33,26,7,.788,20.84,10.42,,14,4,,16,0,,6,5,,2415,2071,,68.7,105.8,.296,.406,.533,52.3,62.3,13.4,13.3,.503,15.3,32.8,.211
311,Texas A&M-Corpus Christi NCAA,35,23,12,.657,-6.57,-8.89,,7,7,,9,4,,7,6,,2682,2454,,72.3,105.5,.364,.313,.537,53.0,56.0,11.7,5.6,.495,16.5,34.6,.269
312,Texas A&M,36,24,12,.667,12.13,7.27,,9,9,,14,4,,5,5,,2622,2402,,68.7,104.6,.354,.350,.535,50.4,53.7,14.6,10.2,.500,16.4,34.5,.250
313,UT Arlington,29,11,18,.379,-5.20,-0.65,,7,10,,8,4,,3,13,,1948,1993,,66.5,97.6,.288,.346,.505,50.1,57.0,11.4,12.2,.473,17.4,31.6,.202
314,TCU NCAA,32,20,12,.625,12.89,9.80,,8,10,,12,4,,4,6,,2179,2080,,67.1,101.1,.312,.319,.517,56.1,53.9,9.3,11.4,.489,18.1,37.8,.209
315,UTEP,32,19,13,.594,0.20,-0.17,,11,7,,11,5,,7,6,,2203,2129,,67.9,100.6,.283,.378,.532,46.7,48.7,11.0,9.9,.496,15.4,23.4,.215
316,Texas-Rio Grande Valley,31,8,23,.258,-9.78,-0.88,,3,15,,4,9,,3,12,,2212,2438,,73.2,97.5,.416,.374,.536,47.2,49.9,7.1,8.5,.498,18.8,25.1,.289
317,UTSA,32,10,22,.313,-10.29,-1.33,,3,15,,8,10,,1,11,,2153,2313,,70.0,95.7,.265,.338,.476,50.9,46.0,8.1,7.2,.445,15.2,31.0,.181
318,Texas Southern NCAA,31,19,12,.613,-2.98,-6.88,,13,5,,7,2,,8,10,,2153,2032,,69.6,99.4,.336,.311,.517,53.5,42.2,7.9,13.6,.486,18.2,33.4,.227
319,Texas State,29,21,8,.724,0.37,-2.63,,12,3,,12,1,,7,6,,2043,1834,,65.6,107.0,.318,.306,.555,51.9,47.9,9.8,11.1,.520,16.3,31.6,.239
320,Texas Tech NCAA,34,25,9,.735,19.97,8.59,,12,6,,18,0,,3,7,,2438,2051,,67.5,105.1,.361,.344,.555,54.6,52.3,12.0,11.9,.524,17.6,33.3,.252
321,Texas NCAA,32,21,11,.656,17.22,8.51,,10,8,,16,3,,4,7,,2187,1908,,64.3,105.6,.323,.360,.538,51.1,53.6,11.9,10.1,.500,15.7,31.8,.242
322,Toledo,33,26,7,.788,7.05,-3.33,,17,3,,13,1,,9,5,,2662,2260,,70.4,114.5,.287,.312,.570,53.4,51.1,7.8,7.4,.540,12.8,30.5,.217
323,Towson,33,25,8,.758,6.41,-2.77,,15,3,,12,2,,11,4,,2414,2111,,66.0,110.4,.342,.381,.553,54.9,52.5,10.8,8.5,.520,15.2,35.5,.247
324,Troy,31,20,11,.645,-3.15,-3.54,,10,6,,10,3,,8,6,,2144,2018,,69.0,99.5,.329,.403,.526,52.6,57.2,11.3,6.2,.490,18.7,31.9,.237
325,Tulane,29,14,15,.483,6.84,5.43,,10,8,,9,4,,3,8,,2121,2080,,69.3,104.1,.334,.386,.551,44.7,53.4,11.3,10.0,.512,13.7,19.9,.252
326,Tulsa,31,11,20,.355,1.79,4.31,,4,14,,8,8,,1,10,,2089,2167,,67.3,100.1,.310,.361,.530,48.4,49.0,10.2,7.2,.496,16.8,26.7,.225
327,UCLA NCAA,32,25,7,.781,20.36,8.80,,15,5,,14,1,,8,4,,2444,2074,,67.1,111.6,.298,.315,.539,52.8,50.0,10.3,9.6,.506,11.4,32.0,.220
328,Utah State,34,18,16,.529,10.86,4.98,,8,10,,9,7,,4,7,,2497,2273,,67.3,107.5,.287,.402,.571,53.0,66.5,9.0,6.2,.545,16.2,26.3,.207
329,Utah Valley,32,20,12,.625,2.68,-1.29,,10,8,,11,2,,6,9,,2279,2084,,68.2,102.5,.382,.313,.549,55.8,59.5,7.9,11.8,.512,19.2,32.8,.272
330,Utah,31,11,20,.355,5.90,7.06,,4,16,,7,9,,2,9,,2161,2197,,67.2,102.9,.300,.394,.526,50.2,55.5,6.8,7.5,.484,15.6,29.3,.232
331,Valparaiso,32,14,18,.438,-1.29,1.15,,6,12,,8,8,,3,8,,2264,2257,,67.4,101.8,.262,.380,.553,49.2,47.8,9.2,8.0,.523,14.7,16.9,.199
332,Vanderbilt,34,18,16,.529,11.36,8.25,,7,11,,10,8,,5,7,,2405,2299,,69.2,101.9,.392,.459,.539,49.4,49.4,10.6,10.1,.503,16.9,27.5,.273
333,Vermont NCAA,33,28,5,.848,7.75,-6.32,,17,1,,16,0,,10,4,,2473,1990,,65.1,114.6,.264,.430,.596,55.0,55.2,8.0,7.4,.572,13.4,24.6,.197
334,Villanova NCAA,33,26,7,.788,19.47,9.92,,16,4,,12,1,,8,5,,2397,2082,,64.2,112.7,.305,.460,.564,51.9,49.0,9.7,7.1,.520,13.4,30.9,.251
335,Virginia Commonwealth,31,22,9,.710,9.99,4.99,,14,4,,12,4,,9,2,,2072,1917,,68.4,97.4,.303,.297,.542,48.5,56.2,13.4,14.7,.515,19.5,26.6,.211
336,VMI,31,16,15,.516,-1.87,-1.98,,9,9,,9,4,,6,9,,2451,2282,,69.0,113.3,.244,.549,.593,49.7,58.7,6.8,8.2,.566,14.6,24.3,.191
337,Virginia Tech NCAA,35,23,12,.657,14.17,5.71,,11,9,,11,4,,7,6,,2476,2180,,63.5,111.1,.237,.415,.575,51.5,55.4,8.4,9.5,.552,14.9,28.1,.176
338,Virginia,32,19,13,.594,8.29,5.92,,12,8,,10,6,,6,6,,2002,1926,,60.2,103.9,.281,.298,.530,50.0,59.9,9.7,13.9,.497,14.3,28.3,.208
339,Wagner,27,21,6,.778,-0.92,-8.81,,13,3,,12,1,,9,5,,2010,1747,,68.3,107.0,.323,.300,.540,53.6,52.6,12.0,8.7,.506,15.4,33.9,.234
340,Wake Forest,32,23,9,.719,13.27,4.02,,13,7,,16,2,,5,5,,2543,2247,,71.0,110.3,.320,.420,.589,52.3,53.0,8.8,10.0,.562,16.7,27.1,.234
341,Washington State,34,20,14,.588,12.75,6.02,,11,9,,13,7,,6,5,,2436,2207,,67.4,105.9,.296,.443,.520,51.2,45.6,9.4,12.9,.483,14.1,33.2,.221
342,Washington,32,17,15,.531,5.58,7.27,,11,9,,11,6,,3,7,,2260,2314,,70.4,99.1,.347,.329,.503,46.2,41.0,11.6,10.5,.464,14.5,29.3,.244
343,Weber State,33,21,12,.636,-1.44,-4.92,,13,7,,9,6,,8,5,,2513,2319,,71.1,106.8,.377,.377,.577,49.0,40.0,10.7,7.1,.539,15.0,20.7,.282
344,West Virginia,33,16,17,.485,10.28,10.80,,4,14,,12,5,,1,10,,2259,2276,,68.5,100.0,.361,.337,.511,47.2,44.4,11.4,13.1,.468,15.7,29.9,.262
345,Western Carolina,32,11,21,.344,-10.35,-1.77,,5,13,,8,5,,2,14,,2261,2472,,69.3,100.8,.278,.511,.509,50.0,52.4,7.0,7.1,.483,15.2,29.4,.187
346,Western Illinois,31,16,15,.516,-5.19,-5.23,,7,11,,9,6,,7,8,,2439,2390,,72.4,106.9,.303,.409,.537,52.2,40.9,8.5,6.4,.507,13.6,29.2,.215
347,Western Kentucky,32,19,13,.594,3.45,0.38,,11,7,,13,4,,5,6,,2414,2214,,71.0,106.3,.302,.369,.560,48.8,50.5,11.9,16.9,.533,15.3,24.6,.215
348,Western Michigan,31,8,23,.258,-13.13,-1.92,,4,16,,4,10,,2,13,,2027,2329,,66.5,97.1,.251,.454,.522,47.9,43.7,7.9,6.5,.496,17.9,26.6,.176
349,Wichita State,28,15,13,.536,8.33,6.22,,6,9,,11,6,,3,5,,1917,1858,,67.8,99.6,.317,.414,.510,51.5,51.1,11.0,12.6,.467,16.1,32.3,.239
350,William & Mary,32,5,27,.156,-14.10,-2.07,,4,14,,4,10,,1,14,,2044,2380,,69.9,90.3,.300,.390,.497,49.7,50.7,9.3,8.5,.462,20.2,26.9,.211
351,Winthrop,32,23,9,.719,-1.55,-3.62,,14,2,,13,0,,7,7,,2407,2246,,69.3,107.3,.369,.429,.591,52.0,50.8,9.2,7.7,.565,18.7,26.7,.258
352,Wisconsin NCAA,31,24,7,.774,13.85,9.69,,15,5,,12,4,,9,2,,2192,2063,,67.1,105.3,.323,.361,.521,50.2,44.3,7.9,7.5,.482,11.2,25.9,.240
353,Wofford,32,19,13,.594,2.14,-1.43,,10,8,,11,4,,7,8,,2322,2120,,65.6,110.2,.287,.485,.581,53.0,52.0,10.5,5.2,.551,15.7,28.3,.218
354,Wright State NCAA,34,21,13,.618,-2.12,-5.66,,15,7,,12,3,,7,7,,2566,2416,,69.5,108.6,.313,.325,.556,51.2,50.7,8.3,7.6,.518,15.3,31.2,.240
355,Wyoming NCAA,34,25,9,.735,9.87,4.12,,13,5,,14,1,,8,5,,2466,2227,,66.3,107.8,.359,.431,.565,52.0,44.7,5.8,5.4,.531,15.0,25.5,.260
356,Xavier,32,19,13,.594,12.98,8.29,,8,11,,14,5,,4,6,,2364,2214,,69.2,105.2,.357,.359,.536,51.8,55.8,10.8,11.7,.502,14.4,29.3,.251
357,Yale NCAA,30,19,11,.633,0.07,-1.97,,11,3,,10,3,,6,6,,2170,2065,,70.3,102.5,.326,.363,.541,50.4,46.2,8.8,9.3,.504,16.1,25.7,.241
358,Youngstown State,32,18,14,.563,-6.16,-7.19,,12,9,,12,7,,6,7,,2329,2229,,67.3,107.6,.300,.381,.550,51.7,45.9,7.9,6.9,.516,14.9,30.8,.226
