,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
68,Columbia,26,4,22,.154,-17.46,-4.58,,1,13,,3,10,,1,12,,1752,2049,,71.0,94.5,.263,.363,.509,49.0,48.1,8.3,5.7,.490,18.7,27.3,.165
69,Connecticut NCAA,32,23,9,.719,17.23,7.20,,13,6,,14,2,,5,5,,2406,2085,,67.1,109.9,.306,.342,.533,55.3,52.2,8.7,16.7,.496,14.4,37.9,.229
70,Coppin State,32,9,23,.281,-12.57,-4.82,,6,8,,3,6,,4,16,,2142,2390,,74.4,90.0,.346,.499,.497,44.0,49.4,10.8,8.1,.460,17.6,20.1,.237
71,Cornell,26,15,11,.577,-3.37,-3.41,,7,7,,10,2,,5,8,,2059,1941,,73.5,107.2,.303,.458,.571,51.3,61.2,10.7,8.3,.546,17.0,28.0,.215
72,Creighton NCAA,33,22,11,.667,11.42,8.33,,12,7,,11,4,,6,5,,2278,2176,,68.1,100.7,.260,.382,.537,51.9,51.1,7.8,10.5,.509,18.0,28.6,.189
73,Dartmouth,25,9,16,.360,-4.00,-2.50,,6,8,,5,5,,4,11,,1709,1705,,66.8,100.8,.241,.449,.526,48.2,42.9,9.8,9.6,.493,15.0,23.9,.186
74,Davidson NCAA,33,27,6,.818,10.53,1.72,,15,3,,13,1,,9,3,,2494,2170,,66.1,113.8,.320,.412,.592,52.4,55.0,7.0,8.2,.561,13.4,23.8,.242
75,Dayton,33,23,10,.697,10.16,2.19,,14,4,,13,4,,6,5,,2281,2018,,64.4,107.3,.313,.341,.563,54.7,56.3,8.8,11.2,.540,16.9,30.6,.214
76,Delaware State,28,2,26,.071,-22.45,-7.21,,0,14,,2,11,,0,13,,1757,2058,,71.0,88.0,.306,.332,.490,47.6,42.8,10.2,12.3,.458,21.4,27.4,.205
77,Delaware NCAA,34,22,12,.647,0.11,-2.71,,10,8,,9,5,,8,5,,2508,2376,,68.2,107.4,.339,.387,.571,49.4,48.6,9.6,9.9,.538,16.4,27.0,.252
