,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
140,Jackson State,30,11,19,.367,-9.77,-5.27,,9,9,,6,3,,5,15,,1829,1964,,65.9,98.9,.366,.296,.514,49.0,48.4,10.0,8.8,.477,16.0,27.9,.253
141,Jacksonville State NCAA,31,21,10,.677,0.02,-4.36,,13,3,,11,4,,9,5,,2292,2071,,67.5,98.6,.212,.449,.512,46.5,53.1,9.5,7.7,.482,15.4,25.6,.162
142,Jacksonville,31,21,10,.677,-1.95,-5.10,,11,5,,15,0,,6,10,,2081,1839,,63.1,93.7,.294,.451,.499,44.3,48.7,8.5,8.8,.463,16.2,22.7,.212
143,James Madison,29,15,14,.517,-4.33,-1.30,,6,12,,9,6,,5,6,,2178,2123,,70.5,102.5,.265,.458,.547,51.8,58.3,8.6,7.3,.518,18.7,30.9,.196
144,Kansas State,31,14,17,.452,10.75,9.21,,6,12,,9,7,,5,7,,2139,2091,,67.4,99.2,.320,.402,.527,51.9,55.0,8.4,10.5,.495,17.4,28.3,.223
145,Kansas NCAA,34,28,6,.824,21.85,11.41,,14,4,,16,1,,6,4,,2672,2317,,69.5,97.0,.278,.342,.501,46.7,47.5,9.8,7.8,.469,16.0,28.8,.196
146,Kennesaw State,31,13,18,.419,-4.33,-2.44,,7,9,,10,6,,3,12,,2319,2206,,68.3,102.5,.330,.406,.545,48.3,52.9,9.2,7.2,.515,17.2,27.1,.231
147,Kent State,33,23,10,.697,0.36,-2.81,,16,4,,11,4,,8,4,,2344,2134,,67.4,95.9,.353,.435,.513,46.8,52.1,9.5,7.0,.475,17.7,25.8,.248
148,Kentucky NCAA,33,26,7,.788,21.86,8.40,,14,4,,18,0,,6,5,,2622,2178,,69.3,94.9,.251,.360,.496,42.9,46.3,8.7,6.4,.466,15.4,24.8,.180
149,La Salle,30,11,19,.367,-3.34,0.70,,5,13,,8,7,,2,10,,2025,2146,,68.4,103.3,.310,.366,.531,50.0,56.4,9.5,8.1,.499,14.7,27.6,.219
150,Lafayette,30,10,20,.333,-12.55,-6.62,,7,11,,6,9,,4,11,,2034,2185,,66.0,108.1,.261,.364,.551,53.8,51.7,8.4,7.6,.529,14.9,29.8,.181
151,Lamar,29,2,27,.069,-15.54,-2.28,,0,16,,2,9,,0,18,,1778,2116,,67.5,108.1,.381,.419,.553,50.9,66.9,11.0,7.5,.518,15.3,30.8,.269
152,Lehigh,32,13,19,.406,-10.74,-7.48,,10,8,,9,7,,4,12,,2190,2284,,68.8,103.3,.315,.258,.523,51.2,40.8,10.9,11.7,.488,13.0,25.7,.227
153,Liberty,33,22,11,.667,2.09,-3.78,,12,4,,13,3,,6,3,,2421,2094,,66.0,95.4,.304,.407,.506,47.8,47.6,9.5,7.8,.469,15.6,21.9,.219
154,Lipscomb,33,14,19,.424,-8.30,-3.16,,6,10,,9,6,,3,13,,2442,2536,,71.2,108.0,.225,.408,.533,50.2,51.7,9.9,12.6,.508,12.2,27.6,.163
155,Long Beach State,32,20,12,.625,0.13,0.47,,14,3,,11,3,,6,6,,2365,2316,,71.6,100.0,.275,.392,.540,49.2,52.2,9.0,7.0,.508,17.8,26.2,.205
156,Long Island University,30,16,14,.533,-7.50,-6.91,,12,6,,12,1,,4,13,,2245,2204,,73.3,99.4,.298,.417,.512,49.4,51.4,9.6,7.2,.478,16.0,29.4,.213
157,Longwood NCAA,32,26,6,.813,0.13,-6.98,,15,1,,16,1,,7,5,,2443,2082,,67.8,95.2,.256,.435,.527,44.9,48.3,8.1,10.3,.496,18.7,23.3,.189
158,Louisiana,31,16,15,.516,-2.50,-2.71,,8,9,,7,6,,6,8,,2203,2151,,70.5,97.6,.342,.331,.508,46.6,50.2,11.7,8.7,.464,16.1,27.2,.254
159,Louisiana-Monroe,31,13,18,.419,-8.44,-2.33,,5,13,,8,7,,5,10,,2246,2304,,69.7,105.3,.330,.403,.549,53.3,57.5,10.4,10.0,.521,17.3,32.7,.228
160,Louisiana State NCAA,33,22,11,.667,18.05,8.48,,9,9,,15,2,,3,8,,2413,2097,,70.6,89.3,.384,.459,.493,48.6,54.0,9.8,8.8,.451,21.9,31.2,.265
161,Louisiana Tech,34,24,10,.706,5.42,0.29,,12,6,,13,3,,8,5,,2558,2312,,70.0,97.1,.267,.390,.510,49.7,50.6,9.2,8.8,.478,17.0,27.1,.195
162,Louisville,32,13,19,.406,3.92,6.71,,6,14,,8,8,,2,10,,2154,2243,,67.5,103.0,.300,.381,.533,49.2,52.4,9.4,9.3,.504,14.4,24.8,.211
163,Loyola (IL) NCAA,32,25,7,.781,14.17,2.94,,13,5,,12,2,,8,3,,2362,1975,,65.8,92.4,.280,.385,.505,47.6,42.0,8.6,11.3,.470,18.0,23.2,.204
164,Loyola Marymount,29,11,18,.379,-1.63,3.55,,3,12,,6,7,,3,9,,2010,2148,,67.5,108.8,.316,.368,.582,52.1,55.2,9.5,10.3,.546,16.5,27.4,.246
165,Loyola (MD),30,14,16,.467,-8.40,-7.95,,8,10,,10,3,,3,12,,1984,1970,,66.7,97.6,.300,.377,.537,51.0,54.7,9.6,8.1,.506,18.7,25.9,.215
166,Maine,29,6,23,.207,-18.30,-5.26,,3,15,,5,9,,1,14,,1811,2063,,66.6,106.9,.328,.354,.566,53.1,49.6,9.8,7.3,.534,17.1,28.8,.240
167,Manhattan,30,15,15,.500,-7.99,-4.19,,8,12,,8,5,,4,9,,2126,2179,,69.5,103.3,.347,.333,.550,50.3,56.1,10.8,7.0,.518,18.0,30.7,.245
168,Marist,30,14,16,.467,-4.58,-5.18,,9,11,,7,6,,7,9,,2063,2045,,66.9,100.6,.285,.409,.517,50.0,54.8,8.8,8.9,.483,14.7,27.2,.207
169,Marquette NCAA,31,19,12,.613,12.54,9.02,,11,8,,13,3,,4,7,,2306,2197,,71.4,98.4,.297,.355,.500,52.9,54.9,9.9,9.1,.467,16.3,31.4,.208
170,Marshall,33,12,21,.364,-4.41,0.31,,4,14,,8,9,,3,11,,2442,2523,,73.3,104.2,.270,.345,.545,50.7,45.4,10.5,6.4,.509,15.9,27.9,.210
171,Maryland-Baltimore County,32,18,14,.563,-6.00,-6.45,,11,7,,11,4,,6,10,,2359,2307,,68.8,104.3,.194,.366,.535,52.5,45.7,8.1,7.4,.521,14.6,27.9,.128
172,Maryland-Eastern Shore,26,11,15,.423,-12.41,-7.23,,6,8,,6,4,,5,10,,1736,1726,,70.0,93.9,.357,.383,.528,50.5,54.4,9.9,9.1,.495,21.7,29.0,.246
173,Maryland,32,15,17,.469,9.75,9.53,,7,13,,10,8,,3,7,,2270,2263,,67.4,104.1,.246,.389,.531,49.9,52.2,8.3,9.2,.502,14.1,27.6,.182
174,Massachusetts-Lowell,31,15,16,.484,-7.00,-6.57,,7,11,,8,6,,6,9,,2191,2040,,68.9,94.8,.302,.335,.506,49.2,43.7,8.7,9.1,.470,17.6,27.7,.217
175,Massachusetts,32,15,17,.469,-0.52,1.85,,7,11,,10,5,,3,8,,2422,2498,,69.2,111.5,.293,.358,.578,51.0,57.5,8.5,7.9,.552,15.7,29.7,.213
176,McNeese State,33,11,22,.333,-11.50,-4.77,,4,10,,6,5,,2,13,,2579,2555,,74.2,102.1,.377,.347,.546,46.1,51.5,11.0,7.1,.508,17.2,27.3,.273
177,Memphis NCAA,31,21,10,.677,14.40,7.37,,13,5,,13,2,,5,6,,2338,2120,,71.4,95.8,.329,.428,.502,45.7,57.0,13.2,9.1,.465,17.9,31.0,.230
178,Mercer,33,16,17,.485,-3.30,-1.04,,8,10,,10,4,,4,11,,2325,2328,,66.3,105.7,.277,.416,.547,49.4,52.0,10.5,8.3,.518,14.7,26.2,.202
179,Merrimack,30,14,16,.467,-10.63,-6.59,,9,8,,7,7,,7,9,,1843,1931,,64.0,99.7,.331,.341,.521,57.1,59.8,9.3,9.3,.486,19.4,36.0,.236
180,Miami (FL) NCAA,33,23,10,.697,10.10,6.31,,14,6,,10,5,,10,2,,2469,2344,,67.5,104.9,.247,.394,.555,53.1,56.7,7.8,8.8,.535,17.7,30.3,.170
181,Miami (OH),32,14,18,.438,-5.99,-3.79,,8,12,,9,8,,5,9,,2408,2351,,68.9,105.7,.295,.409,.547,51.3,50.4,8.9,8.3,.517,15.7,29.1,.215
182,Michigan State NCAA,34,22,12,.647,13.77,10.12,,11,9,,12,3,,5,6,,2451,2327,,68.1,100.6,.283,.378,.507,46.8,51.7,9.5,8.7,.475,13.4,27.0,.201
183,Michigan NCAA,31,17,14,.548,14.08,10.92,,11,9,,10,5,,5,7,,2264,2166,,67.5,103.5,.266,.339,.533,45.8,41.6,7.8,8.4,.503,13.3,23.8,.194
184,Middle Tennessee,33,23,10,.697,3.96,-0.95,,13,5,,15,0,,5,9,,2456,2217,,68.8,96.2,.350,.366,.518,49.0,43.8,9.4,10.2,.475,18.9,29.0,.258
185,Milwaukee,32,10,22,.313,-12.87,-6.00,,8,14,,6,10,,4,10,,2073,2264,,68.0,104.1,.290,.413,.511,50.7,53.2,9.8,8.5,.470,12.8,29.7,.221
186,Minnesota,30,13,17,.433,6.41,8.61,,4,16,,8,7,,3,9,,2010,2076,,65.5,104.8,.233,.347,.535,55.0,50.8,7.3,10.4,.512,13.9,27.4,.164
187,Mississippi State,33,18,15,.545,12.36,7.91,,8,10,,14,3,,1,9,,2339,2192,,66.8,98.3,.281,.421,.527,45.6,57.5,10.6,8.2,.496,17.3,25.9,.204
188,Mississippi Valley State,28,2,26,.071,-21.90,-6.15,,2,16,,0,11,,2,15,,1882,2323,,72.5,112.0,.364,.312,.593,57.7,52.0,9.2,9.6,.566,18.0,34.0,.259
189,Mississippi,32,13,19,.406,7.04,7.57,,4,14,,10,8,,2,7,,2180,2197,,67.0,101.3,.280,.362,.541,50.6,59.6,10.1,9.2,.514,17.1,26.6,.199
190,Kansas City,31,19,12,.613,-4.97,-4.71,,12,6,,11,3,,8,7,,2311,2085,,70.2,95.8,.420,.352,.545,51.5,48.2,7.0,9.0,.497,20.2,21.8,.313
191,Missouri State,34,23,11,.676,8.64,1.40,,13,5,,12,4,,8,5,,2628,2342,,68.1,100.4,.277,.382,.520,47.8,43.7,7.6,8.1,.484,13.9,23.2,.209
192,Missouri,33,12,21,.364,3.31,9.47,,5,13,,8,8,,2,10,,2160,2325,,67.4,104.2,.354,.354,.538,48.8,48.2,10.8,9.6,.506,15.8,29.7,.247
193,Monmouth,34,21,13,.618,-0.79,-2.09,,11,9,,9,5,,10,7,,2333,2289,,67.1,99.6,.336,.408,.512,49.1,50.3,8.0,8.6,.473,15.4,27.9,.240
194,Montana State NCAA,34,27,7,.794,0.49,-6.04,,16,4,,13,1,,9,6,,2617,2328,,69.6,97.3,.349,.352,.523,46.6,38.9,9.2,7.8,.478,16.4,22.6,.263
195,Montana,32,18,14,.563,-6.16,-5.88,,11,9,,14,3,,4,10,,2310,2141,,67.5,98.7,.391,.302,.536,52.5,43.6,6.1,8.0,.494,17.4,25.0,.284
196,Morehead State,34,23,11,.676,1.11,-3.12,,13,5,,12,2,,8,8,,2379,2158,,66.6,95.0,.231,.330,.488,47.4,50.6,11.3,9.7,.462,15.6,27.9,.159
197,Morgan State,27,13,14,.481,-12.36,-7.88,,7,6,,8,3,,3,9,,2035,1955,,75.8,95.0,.415,.382,.542,49.6,49.8,10.0,9.2,.505,22.5,28.6,.289
198,Mount St. Mary's,30,14,16,.467,-7.97,-6.97,,9,7,,8,5,,6,11,,1984,1958,,65.3,99.2,.260,.333,.517,48.5,45.9,10.6,6.9,.484,16.3,28.3,.193
199,Murray State NCAA,32,30,2,.938,10.39,-3.61,,18,0,,15,0,,11,1,,2538,1993,,68.3,91.2,.252,.405,.497,44.1,44.6,7.8,10.0,.471,18.4,24.7,.170
200,Navy,32,21,11,.656,-2.93,-6.35,,12,6,,9,6,,11,5,,2079,1924,,64.7,92.3,.314,.382,.502,45.7,56.5,10.7,8.8,.469,18.4,24.3,.215
201,Omaha,30,5,25,.167,-16.51,-1.78,,4,14,,5,9,,0,15,,2088,2505,,71.4,116.9,.370,.386,.589,53.1,48.1,9.0,7.4,.557,13.0,29.1,.271
202,Nebraska,32,10,22,.313,3.49,8.74,,4,16,,7,12,,3,8,,2345,2513,,72.0,107.0,.294,.404,.545,54.8,50.8,9.7,10.2,.515,15.7,31.3,.213
203,Nevada-Las Vegas,32,18,14,.563,7.67,5.06,,10,8,,14,4,,4,7,,2236,2099,,67.0,97.9,.305,.417,.510,49.2,53.6,7.6,8.7,.475,15.1,25.5,.219
204,Nevada,31,13,18,.419,4.16,6.53,,6,12,,7,7,,3,9,,2249,2284,,71.2,103.4,.289,.440,.549,49.8,55.9,8.4,7.3,.520,16.2,25.2,.208
205,New Hampshire,28,15,13,.536,-6.25,-7.14,,10,8,,10,4,,5,9,,1925,1819,,63.6,102.2,.251,.394,.529,46.9,41.1,7.8,7.7,.498,13.4,21.3,.188
206,New Mexico State NCAA,32,26,6,.813,6.75,0.54,,13,4,,13,2,,9,3,,2346,2081,,68.5,94.5,.271,.429,.492,44.8,48.8,9.9,6.2,.456,15.4,25.5,.199
207,New Mexico,32,13,19,.406,1.65,4.72,,5,12,,11,7,,2,9,,2376,2411,,71.5,104.5,.342,.343,.548,52.6,52.0,8.3,8.5,.512,16.1,28.1,.250
208,New Orleans,31,18,13,.581,-7.15,-7.15,,10,4,,12,2,,3,9,,2396,2291,,74.7,98.1,.319,.391,.517,50.9,55.1,9.3,8.0,.484,17.6,30.4,.222
209,Niagara,30,14,16,.467,-3.44,-3.34,,9,11,,7,4,,5,10,,2022,1965,,65.7,98.4,.277,.368,.513,51.3,52.4,7.7,7.9,.477,15.3,26.5,.207
210,Nicholls State,32,21,11,.656,-3.52,-6.23,,11,3,,11,1,,7,7,,2532,2284,,72.4,97.8,.339,.372,.516,48.7,53.6,7.6,6.0,.480,18.1,29.7,.240
211,NJIT,29,11,18,.379,-14.54,-6.08,,6,12,,6,8,,5,10,,1826,2030,,67.3,102.7,.265,.407,.527,52.1,53.8,10.0,9.2,.501,14.8,27.1,.184
212,Norfolk State NCAA,30,24,6,.800,-3.37,-10.30,,12,2,,11,0,,7,6,,2253,1912,,71.1,89.7,.329,.450,.472,46.3,54.1,8.1,8.9,.439,17.0,26.5,.213
213,North Alabama,30,9,21,.300,-11.08,-2.96,,2,14,,6,7,,3,12,,2081,2056,,70.6,96.3,.395,.338,.517,51.8,45.0,8.5,10.3,.477,18.3,28.4,.274
214,UNC Asheville,30,16,14,.533,-5.14,-5.62,,8,8,,9,6,,6,7,,2246,2046,,67.7,98.2,.268,.321,.505,51.5,47.1,9.5,8.7,.479,16.6,32.1,.180
215,North Carolina A&T,32,12,20,.375,-9.80,-4.35,,6,10,,7,4,,3,13,,2167,2250,,68.5,101.9,.365,.411,.535,50.7,57.9,9.9,6.1,.499,17.5,30.1,.257
216,North Carolina Central,31,16,15,.516,-11.16,-7.23,,8,5,,9,2,,5,11,,2256,2120,,70.9,95.4,.417,.421,.532,47.7,54.9,9.7,11.5,.490,20.8,28.7,.295
217,UNC Greensboro,31,17,14,.548,-2.15,-1.75,,9,9,,9,5,,7,6,,2015,2008,,63.3,101.2,.280,.487,.538,45.8,56.7,10.9,8.2,.503,16.7,24.7,.213
218,NC State,32,11,21,.344,3.47,6.06,,4,16,,7,10,,3,7,,2336,2419,,67.9,109.2,.294,.346,.565,51.9,52.8,8.1,11.0,.534,16.0,31.1,.219
219,UNC Wilmington,32,23,9,.719,-2.32,-3.52,,15,3,,12,2,,9,5,,2251,2176,,66.7,100.3,.326,.312,.527,52.4,40.9,6.8,7.8,.498,17.5,31.7,.221
220,North Carolina NCAA,33,24,9,.727,13.11,7.32,,15,5,,15,2,,8,3,,2558,2367,,70.2,101.4,.215,.369,.524,44.6,48.0,9.4,8.5,.498,12.8,20.8,.159
221,North Dakota State,33,23,10,.697,-1.06,-4.12,,13,5,,12,3,,9,6,,2469,2267,,68.2,99.2,.245,.326,.504,46.6,38.0,7.8,6.2,.472,11.8,21.8,.182
222,North Dakota,31,6,25,.194,-16.10,-4.79,,2,16,,4,11,,1,13,,2178,2444,,69.4,113.2,.295,.359,.576,50.6,46.4,9.1,9.3,.555,12.7,25.5,.205
223,North Florida,31,11,20,.355,-8.12,0.31,,7,9,,7,5,,4,15,,2124,2206,,69.1,102.2,.266,.300,.499,53.8,52.7,11.9,10.2,.470,14.4,35.9,.182
224,North Texas,31,25,6,.806,9.13,1.09,,16,2,,13,2,,9,1,,2014,1712,,60.9,90.3,.317,.297,.487,46.4,39.3,9.4,8.7,.452,17.9,24.5,.217
225,Northeastern,31,9,22,.290,-6.15,-1.34,,2,16,,6,8,,0,12,,1993,2142,,65.4,104.8,.256,.369,.548,48.4,46.3,11.1,7.1,.517,14.1,23.7,.193
226,Northern Arizona,32,9,23,.281,-13.13,-3.73,,5,15,,5,11,,3,11,,2161,2347,,67.8,107.4,.341,.360,.554,47.8,45.4,8.6,9.0,.520,12.8,22.6,.248
227,Northern Colorado,35,20,15,.571,-4.22,-3.59,,13,7,,9,4,,8,9,,2737,2689,,70.9,107.2,.302,.340,.551,49.6,39.7,8.6,7.0,.521,12.8,23.2,.220
228,Northern Illinois,30,9,21,.300,-10.08,-2.64,,6,14,,3,8,,6,11,,1923,2146,,68.6,103.9,.407,.365,.547,52.9,54.2,9.3,12.7,.506,17.2,29.4,.295
229,Northern Iowa,30,19,11,.633,6.09,3.33,,14,4,,10,4,,8,4,,2232,2115,,67.5,102.3,.229,.492,.557,49.6,50.6,9.4,7.2,.534,16.5,21.3,.168
230,Northern Kentucky,32,20,12,.625,-2.84,-5.84,,14,6,,12,4,,7,7,,2237,2083,,65.6,97.7,.250,.392,.521,48.1,56.2,9.6,8.1,.490,18.6,30.5,.187
231,Northwestern State,32,9,23,.281,-13.79,-2.93,,5,9,,6,6,,2,14,,2363,2573,,73.2,109.8,.315,.354,.557,51.5,50.3,10.9,7.9,.523,14.9,31.7,.233
232,Northwestern,31,15,16,.484,9.37,7.57,,7,13,,10,6,,3,8,,2262,2168,,68.8,100.0,.344,.413,.540,50.7,61.3,7.2,9.4,.504,17.3,24.7,.247
233,Notre Dame NCAA,32,22,10,.688,11.10,6.10,,15,5,,14,1,,7,5,,2320,2139,,66.1,100.4,.226,.354,.511,49.4,44.0,9.0,9.0,.488,13.2,24.2,.157
234,Oakland,32,20,12,.625,-1.29,-3.79,,12,7,,10,3,,7,8,,2380,2194,,69.0,98.9,.206,.419,.517,50.6,62.4,8.7,8.9,.495,18.2,33.3,.145
235,Ohio State NCAA,30,19,11,.633,14.36,9.03,,12,8,,13,3,,5,6,,2214,2054,,65.4,103.9,.292,.353,.515,48.2,47.4,9.2,7.8,.479,13.1,28.6,.215
236,Ohio,33,24,9,.727,2.10,-4.06,,14,6,,15,2,,8,6,,2440,2223,,68.9,97.8,.275,.379,.534,50.6,45.1,8.1,10.0,.500,18.5,25.8,.207
237,Oklahoma State,30,15,15,.500,13.30,10.60,,8,10,,10,6,,3,8,,2051,1970,,68.8,93.1,.312,.401,.496,49.2,51.0,11.7,8.6,.456,19.5,31.4,.226
238,Oklahoma,34,19,15,.559,14.47,10.26,,7,11,,12,5,,3,8,,2349,2206,,66.2,96.6,.265,.344,.523,49.1,44.4,11.5,8.9,.491,18.1,26.4,.196
239,Old Dominion,32,13,19,.406,-1.25,-0.02,,8,10,,10,4,,3,11,,2127,2145,,65.7,101.7,.285,.452,.522,47.5,54.9,8.4,6.5,.496,14.9,27.4,.193
240,Oral Roberts,31,19,12,.613,-0.36,-4.00,,12,6,,10,5,,8,6,,2582,2306,,72.2,102.2,.242,.355,.521,47.2,39.1,7.5,9.4,.496,12.8,23.4,.170
241,Oregon State,31,3,28,.097,-0.96,8.88,,1,19,,3,13,,0,12,,2117,2422,,67.8,113.4,.291,.399,.575,54.3,52.7,9.8,7.5,.550,15.1,34.0,.208
242,Oregon,34,20,14,.588,10.89,8.38,,11,9,,12,5,,6,5,,2472,2365,,68.6,100.7,.292,.373,.522,50.2,49.9,8.3,7.2,.491,16.7,30.5,.205
243,Pacific,30,8,22,.267,-7.63,0.80,,3,11,,7,7,,0,13,,1976,2182,,69.5,104.2,.272,.421,.571,51.2,49.3,8.0,6.1,.540,17.1,22.1,.209
244,Penn State,31,14,17,.452,9.15,9.54,,7,13,,10,5,,1,10,,2003,2015,,62.8,102.2,.262,.379,.515,47.0,55.2,9.4,10.0,.483,12.2,24.1,.191
245,Pennsylvania,28,12,16,.429,-3.84,-0.41,,9,5,,6,3,,5,10,,2017,2113,,69.0,108.4,.288,.381,.548,51.2,44.2,8.4,8.9,.521,13.4,28.0,.205
246,Pepperdine,32,7,25,.219,-6.67,3.78,,1,15,,7,9,,0,13,,2183,2480,,71.7,107.2,.309,.368,.554,52.4,54.7,10.2,6.8,.525,15.8,30.5,.221
247,Pittsburgh,32,11,21,.344,0.09,6.62,,6,14,,8,11,,3,9,,1969,2178,,64.2,106.0,.294,.429,.548,47.9,60.3,10.3,9.1,.520,14.6,26.1,.209
248,Portland State,31,14,17,.452,-7.40,-5.37,,10,10,,7,7,,5,9,,2280,2237,,72.2,99.1,.388,.377,.545,52.9,48.9,8.2,7.7,.512,20.7,31.2,.268
249,Portland,32,18,14,.563,-1.40,-0.44,,7,7,,10,4,,6,8,,2364,2304,,71.9,99.7,.252,.409,.519,49.4,47.7,8.5,7.4,.489,15.1,25.2,.184
250,Prairie View,27,8,19,.296,-10.22,-3.40,,8,8,,5,4,,3,13,,1877,2061,,71.8,104.9,.448,.354,.544,50.8,49.1,12.0,10.5,.510,17.6,34.2,.299
251,Presbyterian,32,12,20,.375,-8.40,-3.58,,4,12,,7,7,,3,12,,2170,2174,,66.5,98.7,.396,.373,.557,46.9,52.2,9.9,8.7,.518,20.0,24.4,.287
252,Princeton,30,23,7,.767,2.72,-3.89,,12,2,,13,1,,8,4,,2395,2103,,68.7,100.7,.222,.318,.531,48.6,39.7,8.0,8.8,.506,14.9,23.0,.160
253,Providence NCAA,30,25,5,.833,12.27,7.47,,14,3,,16,1,,7,2,,2154,2010,,66.0,99.5,.263,.361,.498,47.9,46.3,9.0,9.9,.467,13.7,28.0,.186
254,Purdue NCAA,34,27,7,.794,19.76,8.73,,14,6,,16,1,,5,5,,2713,2338,,66.6,102.1,.214,.410,.520,43.0,53.2,8.7,6.7,.496,12.6,23.6,.154
255,Quinnipiac,31,14,17,.452,-5.99,-4.62,,7,13,,8,7,,4,9,,2226,2216,,69.3,102.7,.269,.374,.531,49.3,47.8,10.0,11.5,.502,15.3,28.1,.193
256,Radford,29,11,18,.379,-9.23,-3.89,,7,9,,8,4,,3,12,,1832,1955,,65.4,101.7,.368,.374,.556,49.7,48.6,10.6,10.0,.520,18.2,25.5,.266
257,Rhode Island,31,15,16,.484,3.01,1.31,,5,12,,10,5,,3,9,,2081,2015,,68.2,95.3,.318,.415,.500,48.5,57.6,10.8,7.5,.459,16.8,27.4,.233
258,Rice,32,16,16,.500,-2.70,-1.14,,7,11,,10,5,,4,8,,2382,2356,,68.5,105.9,.203,.356,.531,49.3,49.0,9.8,10.2,.510,12.9,27.2,.144
259,Richmond NCAA,35,23,12,.657,7.41,3.98,,10,8,,11,4,,7,5,,2510,2390,,67.5,100.5,.235,.357,.530,52.3,48.7,7.9,9.4,.505,16.7,27.2,.170
260,Rider,33,14,19,.424,-6.22,-3.90,,8,12,,7,6,,4,11,,2237,2286,,68.3,100.3,.332,.444,.524,49.5,54.9,8.7,8.8,.492,16.2,27.8,.230
261,Robert Morris,32,8,24,.250,-12.21,-5.18,,5,16,,4,10,,4,14,,2220,2390,,67.7,109.5,.282,.366,.553,50.7,54.9,10.8,9.1,.525,14.7,31.7,.204
262,Rutgers NCAA,31,18,13,.581,9.19,7.09,,12,8,,14,3,,4,9,,2105,2040,,65.8,99.3,.288,.402,.517,48.8,52.9,8.7,8.0,.483,15.9,27.1,.210
263,Sacramento State,29,11,18,.379,-11.71,-5.01,,6,14,,5,8,,4,9,,1898,2035,,66.4,105.2,.327,.365,.551,53.5,52.9,8.2,8.5,.519,16.0,27.6,.235
264,Sacred Heart,30,10,20,.333,-13.32,-8.70,,6,10,,6,7,,4,13,,2180,2254,,69.3,107.5,.253,.379,.543,49.1,52.5,10.5,9.9,.524,13.9,30.2,.167
265,Saint Francis (PA),30,9,21,.300,-14.37,-7.71,,5,13,,4,8,,5,13,,2058,2205,,68.9,105.4,.249,.382,.539,50.7,54.3,9.8,8.5,.517,15.9,31.1,.171
266,Saint Joseph's,30,11,19,.367,1.15,2.62,,5,13,,9,7,,1,10,,2028,2072,,68.5,100.0,.269,.312,.507,48.3,46.0,10.0,11.1,.477,12.2,24.1,.190
267,Saint Louis,34,23,11,.676,10.48,3.54,,12,6,,14,4,,5,6,,2598,2296,,69.0,96.8,.331,.345,.507,45.6,47.2,9.8,11.4,.474,16.2,26.9,.224
268,Saint Mary's (CA) NCAA,32,25,7,.781,14.75,6.40,,12,3,,16,0,,6,4,,2232,1936,,65.7,92.1,.242,.288,.503,46.7,36.5,9.4,8.9,.475,17.6,22.3,.172
269,Saint Peter's NCAA,30,19,11,.633,0.83,-3.10,,14,6,,9,4,,7,7,,2006,1853,,66.9,91.9,.406,.364,.491,47.8,51.6,10.5,12.8,.437,18.2,27.8,.297
270,Sam Houston State,33,19,14,.576,0.43,-0.81,,13,5,,11,2,,5,8,,2272,2082,,68.8,91.4,.341,.427,.515,47.8,56.2,8.5,7.2,.475,19.3,21.0,.246
271,Samford,32,21,11,.656,-2.81,-1.56,,10,8,,13,2,,5,8,,2390,2363,,70.5,104.0,.323,.456,.548,48.9,59.2,10.7,6.6,.519,16.8,28.7,.226
272,San Diego State NCAA,31,23,8,.742,13.74,6.12,,13,4,,14,1,,5,5,,2024,1788,,65.2,87.7,.306,.382,.474,48.2,51.2,8.7,8.3,.440,19.0,27.0,.206
273,San Diego,31,15,16,.484,-2.92,1.87,,7,9,,8,6,,5,8,,2041,2086,,67.4,99.0,.242,.277,.511,49.4,48.8,8.7,6.8,.483,14.6,25.7,.174
274,San Francisco NCAA,33,24,9,.727,14.78,5.47,,10,6,,14,4,,7,2,,2543,2212,,70.9,94.6,.323,.304,.506,46.3,43.2,8.7,8.9,.469,16.4,23.5,.231
275,San Jose State,31,8,23,.258,-6.56,4.24,,1,17,,7,9,,1,13,,1993,2242,,66.3,108.6,.269,.340,.552,53.8,52.2,9.4,8.4,.526,13.9,29.4,.193
276,Santa Clara,33,21,12,.636,9.33,3.97,,10,5,,14,4,,5,6,,2550,2373,,71.4,100.3,.212,.326,.514,49.6,49.7,7.7,7.8,.485,14.4,25.7,.162
277,Seattle,32,23,9,.719,2.29,-3.78,,14,4,,17,2,,6,6,,2395,2132,,71.8,92.4,.388,.365,.498,49.7,51.3,7.8,10.2,.460,18.0,25.1,.261
278,Seton Hall NCAA,31,21,10,.677,13.88,8.62,,11,8,,13,3,,6,5,,2260,2056,,68.8,96.0,.270,.344,.494,47.8,48.0,9.2,10.8,.452,15.8,29.0,.209
279,Siena,29,15,14,.517,-6.78,-3.88,,12,8,,8,5,,7,8,,1922,2006,,67.2,101.6,.292,.299,.522,51.8,44.3,10.6,8.4,.491,15.1,28.5,.206
280,South Alabama,30,19,11,.633,0.94,-3.14,,9,7,,13,2,,4,8,,2141,1895,,67.5,93.2,.296,.386,.496,50.1,53.2,8.1,6.5,.462,18.8,30.6,.207
