,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
268,Saint Peter's,25,14,11,.560,-4.64,-6.36,,10,8,,8,3,,4,7,,1580,1537,,68.0,90.4,.395,.373,.489,48.7,55.0,9.9,11.3,.449,19.6,27.7,.264
269,Sam Houston State,28,19,9,.679,-3.43,-5.02,,13,3,,12,1,,7,6,,2229,1969,,74.7,94.1,.382,.375,.517,50.3,55.6,8.6,8.1,.476,20.6,30.6,.269
270,Samford,19,6,13,.316,-8.51,-1.22,,2,9,,4,5,,2,7,,1460,1510,,75.0,103.9,.383,.492,.558,47.6,59.9,10.5,7.5,.523,16.7,25.0,.272
271,San Diego State NCAA,27,23,4,.852,14.59,2.17,,14,3,,13,2,,6,2,,2000,1635,,67.1,89.8,.320,.455,.502,47.0,61.2,7.0,8.0,.461,20.1,23.7,.234
272,San Diego,14,3,11,.214,-6.54,4.32,,2,7,,0,5,,3,5,,927,1079,,72.2,105.8,.338,.316,.565,53.8,49.0,9.6,7.6,.533,16.3,25.6,.247
273,San Francisco,25,11,14,.440,5.12,2.96,,4,9,,3,5,,4,6,,1786,1732,,69.5,99.7,.400,.279,.544,51.3,46.1,8.0,10.3,.497,17.8,24.5,.299
274,San Jose State,21,5,16,.238,-17.64,0.94,,2,12,,4,6,,0,8,,1381,1710,,72.4,112.5,.272,.395,.541,56.6,52.1,8.9,10.0,.514,11.9,33.4,.195
275,Santa Clara,20,12,8,.600,-1.31,0.90,,4,5,,6,3,,4,3,,1393,1412,,72.1,97.9,.299,.362,.510,49.8,52.1,8.4,7.2,.474,15.1,24.2,.218
276,Seattle,23,12,11,.522,-6.68,-4.94,,4,5,,6,3,,3,6,,1677,1578,,70.5,96.8,.387,.362,.527,52.8,53.1,7.2,7.9,.479,19.5,29.9,.289
277,Seton Hall,27,14,13,.519,12.04,10.45,,10,9,,7,4,,6,7,,1924,1881,,67.8,101.3,.273,.343,.528,49.9,48.4,9.5,9.6,.494,16.7,29.8,.205
278,Siena,17,12,5,.706,-3.28,-7.86,,12,4,,6,2,,6,2,,1149,1071,,66.2,95.2,.247,.316,.490,48.3,41.5,9.5,7.9,.460,15.5,27.1,.175
279,South Alabama,28,17,11,.607,-5.64,-5.47,,10,7,,10,5,,6,5,,2075,1985,,68.4,102.3,.231,.516,.524,51.6,59.0,8.7,12.1,.496,17.0,32.0,.172
280,South Carolina State,18,1,17,.056,-24.36,-7.03,,1,7,,1,6,,0,11,,1102,1414,,72.5,108.3,.360,.365,.586,55.4,55.4,10.3,9.3,.554,19.7,33.4,.264
281,South Carolina Upstate,23,5,18,.217,-13.11,-4.61,,5,11,,3,8,,2,10,,1515,1712,,68.9,108.0,.361,.375,.567,53.5,52.7,10.2,8.5,.538,16.6,29.8,.252
282,South Carolina,21,6,15,.286,3.81,10.43,,4,12,,3,6,,2,7,,1523,1662,,75.4,104.9,.390,.372,.574,51.3,54.8,10.2,10.4,.532,19.4,31.0,.297
283,South Dakota State,23,16,7,.696,2.60,-2.72,,9,3,,8,1,,4,2,,1850,1690,,71.9,102.2,.257,.401,.542,46.5,48.8,8.8,8.1,.506,13.9,20.0,.204
284,South Dakota,25,14,11,.560,-1.84,-4.09,,11,4,,7,2,,5,4,,1899,1805,,70.2,102.8,.344,.396,.530,49.5,42.7,6.7,6.0,.489,14.0,24.0,.253
285,South Florida,22,9,13,.409,0.12,6.41,,4,10,,4,6,,3,4,,1449,1571,,68.3,104.0,.325,.419,.550,47.2,59.7,9.5,10.1,.519,15.6,25.5,.231
286,Southeast Missouri State,27,11,16,.407,-9.82,-7.16,,9,11,,7,6,,3,9,,1864,1936,,68.9,101.3,.389,.357,.553,48.4,54.8,9.7,10.2,.519,17.7,23.6,.271
287,Southeastern Louisiana,26,8,18,.308,-17.62,-8.24,,5,11,,3,4,,4,13,,1775,2019,,71.6,107.0,.380,.393,.589,51.5,57.7,9.2,9.5,.552,19.6,30.0,.286
288,Southern California NCAA,29,22,7,.759,17.24,7.59,,15,5,,13,2,,7,3,,2168,1888,,67.6,94.7,.248,.353,.487,45.0,52.9,8.0,7.1,.454,15.2,27.2,.180
289,SIU Edwardsville,26,9,17,.346,-14.53,-5.61,,7,12,,2,8,,6,7,,1709,1897,,69.8,104.6,.333,.384,.544,51.6,59.0,11.4,6.6,.517,17.0,31.0,.227
290,Southern Illinois,26,12,14,.462,-3.50,0.79,,5,13,,8,5,,3,8,,1704,1770,,65.8,102.5,.236,.406,.550,53.5,56.9,9.6,10.3,.527,16.9,24.7,.170
291,Southern Methodist,16,11,5,.688,11.16,4.16,,7,4,,6,2,,5,2,,1185,1073,,70.8,94.7,.354,.384,.501,48.6,59.2,10.2,11.0,.463,17.6,29.1,.243
292,Southern Mississippi,25,8,17,.320,-6.85,-2.07,,4,13,,6,7,,2,9,,1605,1668,,68.5,96.9,.289,.444,.526,49.2,52.7,10.2,5.6,.497,17.5,23.5,.201
293,Southern Utah,24,20,4,.833,-0.73,-7.05,,12,2,,14,0,,5,3,,2021,1669,,73.1,94.7,.286,.389,.514,44.5,51.2,6.7,8.2,.489,16.9,21.8,.191
294,Southern,19,8,11,.421,-13.70,-13.28,,8,6,,5,2,,3,7,,1327,1335,,72.9,94.5,.408,.320,.514,48.5,47.3,10.3,10.5,.473,18.3,25.8,.281
295,St. Bonaventure NCAA,20,16,4,.800,15.23,5.08,,11,4,,8,1,,4,3,,1410,1207,,65.2,92.6,.283,.432,.482,46.9,57.6,7.8,7.8,.455,16.9,28.5,.184
296,St. Francis (NY),19,9,10,.474,-8.25,-6.41,,9,9,,4,6,,5,4,,1476,1511,,73.6,107.4,.391,.340,.566,50.6,52.1,8.2,9.2,.527,17.3,30.3,.289
297,St. John's (NY),27,16,11,.593,10.26,8.04,,10,9,,11,3,,4,6,,2132,2072,,74.1,102.2,.318,.369,.551,51.3,52.4,9.2,9.4,.526,19.1,30.0,.217
298,Stanford,27,14,13,.519,8.09,7.94,,10,10,,5,4,,6,6,,1883,1879,,69.7,98.1,.270,.398,.517,50.0,51.1,9.9,9.6,.483,17.6,28.7,.203
299,Stephen F. Austin,21,16,5,.762,-1.87,-8.70,,13,3,,10,1,,6,4,,1686,1484,,72.7,96.1,.411,.357,.547,44.6,54.4,10.4,7.5,.501,21.9,26.9,.307
300,Stetson,25,11,14,.440,-7.37,-4.55,,7,9,,7,5,,3,8,,1800,1767,,68.7,102.4,.296,.378,.549,49.2,56.9,8.4,9.3,.521,16.8,26.2,.210
301,Stony Brook,23,9,14,.391,-5.26,-3.85,,7,9,,5,5,,4,8,,1522,1509,,67.7,95.8,.295,.398,.506,48.3,54.4,9.5,7.9,.474,17.0,27.0,.206
302,Syracuse NCAA,25,16,9,.640,13.75,8.63,,9,7,,13,1,,2,7,,1896,1768,,69.7,100.9,.251,.439,.517,51.4,68.6,8.2,8.9,.485,17.6,33.6,.188
303,Tarleton State,20,10,10,.500,-8.19,-3.92,,5,7,,6,3,,4,7,,1467,1246,,69.2,90.1,.415,.462,.528,51.3,70.9,5.0,8.9,.484,24.8,28.5,.297
304,Temple,16,5,11,.313,2.78,5.78,,4,10,,3,5,,2,5,,1053,1101,,68.3,100.7,.317,.380,.507,50.5,55.3,8.2,10.3,.473,13.9,28.1,.220
305,Tennessee-Martin,24,8,16,.333,-19.01,-5.49,,6,14,,6,7,,2,9,,1571,1847,,68.7,110.8,.362,.419,.588,53.3,63.5,9.8,8.8,.562,18.1,33.3,.254
306,Tennessee State,23,4,19,.174,-13.64,-6.78,,3,17,,4,8,,0,11,,1573,1702,,72.5,101.0,.433,.367,.546,53.1,52.0,8.3,11.1,.507,19.4,30.9,.303
307,Tennessee Tech,27,5,22,.185,-13.62,-3.32,,5,15,,5,6,,0,16,,1797,2075,,70.2,109.0,.267,.384,.570,50.6,63.1,10.4,9.0,.548,15.9,27.8,.188
308,Tennessee NCAA,26,18,8,.692,18.08,8.81,,10,7,,13,3,,4,4,,1885,1644,,68.8,91.9,.311,.381,.499,48.4,45.1,9.5,6.8,.459,19.9,28.6,.227
309,Texas A&M-Corpus Christi,24,5,19,.208,-16.95,-6.28,,2,13,,4,8,,1,10,,1554,1716,,71.3,100.3,.315,.347,.532,51.6,58.4,12.0,8.2,.496,17.3,28.2,.233
310,Texas A&M,18,8,10,.444,2.32,4.99,,2,8,,6,4,,2,4,,1157,1205,,66.1,101.3,.296,.474,.551,49.1,67.8,10.2,11.8,.531,19.9,30.1,.194
311,Texas-Arlington,26,13,13,.500,-7.19,-4.54,,9,8,,9,4,,3,8,,1916,1827,,71.6,97.7,.286,.355,.517,51.1,58.4,8.5,8.0,.487,17.8,30.0,.201
312,Texas Christian,26,12,14,.462,2.83,7.22,,5,11,,6,7,,3,6,,1738,1852,,67.6,104.9,.293,.347,.534,49.8,58.8,10.3,10.2,.507,14.8,29.3,.202
313,Texas-El Paso,24,12,12,.500,0.91,1.10,,8,8,,10,2,,2,9,,1698,1644,,69.6,97.9,.371,.325,.529,50.6,46.4,7.4,7.2,.489,16.9,23.8,.265
314,Texas-Rio Grande Valley,19,9,10,.474,-10.23,-5.83,,2,5,,8,3,,1,6,,1376,1287,,74.5,91.0,.422,.327,.500,50.5,59.4,8.9,8.0,.455,21.6,31.5,.289
315,Texas-San Antonio,26,15,11,.577,-1.38,-0.33,,9,7,,12,2,,2,8,,2050,1906,,73.4,99.9,.355,.383,.531,48.7,50.5,7.5,7.3,.488,16.7,26.3,.265
316,Texas Southern NCAA,24,16,8,.667,-7.49,-10.96,,10,3,,8,2,,5,6,,1795,1672,,74.4,93.1,.329,.385,.495,46.1,49.2,8.9,7.9,.458,17.4,26.1,.230
317,Texas State,25,18,7,.720,-3.92,-7.44,,12,3,,8,3,,9,3,,1660,1543,,64.6,94.1,.327,.402,.525,47.6,52.1,9.0,7.0,.493,20.3,25.4,.228
318,Texas Tech NCAA,27,17,10,.630,16.55,6.92,,9,8,,11,4,,5,4,,1972,1712,,67.0,93.8,.365,.386,.513,48.5,44.8,8.5,7.2,.478,20.7,29.7,.249
319,Texas NCAA,26,19,7,.731,16.25,9.82,,11,6,,8,5,,6,2,,1956,1789,,69.6,97.4,.367,.334,.504,47.0,41.3,8.6,9.6,.467,15.6,26.9,.250
320,Toledo,30,21,9,.700,7.25,-1.22,,15,4,,12,1,,7,5,,2433,2179,,70.2,102.2,.237,.402,.514,49.8,45.3,7.6,8.5,.486,15.0,30.7,.173
321,Towson,18,4,14,.222,-9.00,-1.50,,3,9,,4,4,,0,6,,1214,1349,,66.8,110.6,.293,.409,.555,48.5,48.5,8.0,7.9,.526,13.8,30.3,.212
322,Troy,28,11,17,.393,-11.62,-3.62,,4,12,,7,4,,2,11,,1829,1942,,70.2,98.4,.301,.382,.522,48.8,53.4,11.3,11.3,.496,16.8,25.8,.202
323,Tulane,23,10,13,.435,1.05,3.62,,4,12,,6,6,,3,6,,1470,1529,,67.8,98.1,.300,.430,.522,54.2,68.2,7.8,10.2,.497,19.0,30.6,.200
324,Tulsa,23,11,12,.478,4.24,5.48,,7,9,,7,5,,4,4,,1573,1509,,68.0,96.4,.347,.425,.509,50.8,55.2,11.0,7.7,.480,18.6,30.4,.226
325,UCLA NCAA,26,17,9,.654,12.39,8.04,,13,6,,11,1,,5,6,,1894,1781,,65.5,101.7,.280,.390,.539,46.8,49.4,7.5,7.1,.507,15.7,23.9,.206
326,Utah State NCAA,28,20,8,.714,11.22,0.74,,13,4,,10,2,,5,3,,2052,1743,,69.5,89.5,.257,.409,.492,42.8,52.0,9.5,8.7,.457,18.0,21.5,.191
327,Utah Valley,22,11,11,.500,-4.40,-2.60,,9,4,,8,4,,3,6,,1632,1635,,72.0,102.7,.346,.346,.530,45.5,53.8,9.3,7.5,.486,13.9,23.9,.263
328,Utah,25,12,13,.480,9.36,7.04,,8,11,,8,5,,3,7,,1803,1745,,67.8,101.9,.273,.356,.541,52.1,51.3,9.2,10.6,.512,17.2,29.5,.199
329,Valparaiso,28,10,18,.357,-3.95,1.40,,7,11,,6,6,,4,11,,1821,1902,,68.3,98.5,.278,.357,.523,52.9,52.8,8.8,7.2,.496,16.7,25.8,.192
330,Vanderbilt,25,9,16,.360,6.68,7.28,,3,13,,6,7,,2,8,,1794,1809,,69.6,103.9,.337,.373,.553,50.7,52.6,9.6,14.0,.521,17.4,28.4,.240
331,Vermont,15,10,5,.667,2.80,-6.80,,10,4,,6,3,,4,2,,1095,951,,66.4,93.9,.335,.400,.507,47.1,43.9,7.5,6.7,.470,17.0,23.2,.235
332,Villanova NCAA,22,16,6,.727,18.08,9.67,,11,4,,9,0,,4,4,,1662,1477,,66.2,100.8,.258,.407,.540,48.9,48.7,6.1,8.8,.518,16.9,24.8,.176
333,Virginia Commonwealth NCAA,26,19,7,.731,12.35,5.81,,10,4,,12,2,,5,3,,1864,1694,,70.5,92.0,.354,.351,.498,50.4,51.2,9.1,8.5,.458,20.4,31.0,.246
334,VMI,25,13,12,.520,0.17,-0.20,,7,7,,11,1,,1,10,,2001,1897,,72.3,103.8,.233,.432,.521,48.7,46.6,9.4,8.1,.500,12.4,24.7,.157
335,Virginia Tech NCAA,21,15,6,.714,13.69,7.07,,9,4,,10,2,,3,3,,1515,1376,,66.5,97.4,.308,.393,.516,47.7,46.6,8.7,10.0,.483,15.7,24.3,.216
336,Virginia NCAA,24,18,6,.750,16.66,8.49,,13,4,,10,1,,6,3,,1647,1451,,60.8,98.9,.246,.372,.511,47.9,52.7,8.4,7.7,.479,13.6,22.6,.182
337,Wagner,20,13,7,.650,-3.36,-5.91,,13,5,,7,3,,6,4,,1425,1374,,66.8,101.0,.443,.397,.548,47.5,58.4,9.2,8.6,.503,18.5,28.1,.320
338,Wake Forest,22,6,16,.273,2.72,9.05,,3,15,,5,6,,1,9,,1458,1583,,67.4,106.1,.326,.364,.565,51.1,53.8,11.2,15.8,.538,16.1,25.8,.229
339,Washington State,27,14,13,.519,5.81,4.62,,7,12,,11,5,,3,6,,1853,1821,,68.6,95.7,.327,.328,.504,47.7,55.9,9.9,10.2,.466,16.3,26.0,.231
340,Washington,26,5,21,.192,-0.57,9.17,,4,16,,4,7,,1,9,,1759,2012,,71.0,109.0,.347,.331,.546,55.5,57.2,8.2,8.6,.512,14.7,34.4,.247
341,Weber State,23,17,6,.739,1.87,-6.48,,12,3,,11,0,,6,5,,1881,1594,,72.5,95.6,.306,.356,.519,48.6,51.1,8.5,6.6,.485,17.6,24.4,.219
342,West Virginia NCAA,27,18,9,.667,15.89,10.70,,11,6,,8,5,,7,2,,2087,1947,,70.7,100.6,.285,.372,.530,48.3,52.0,8.7,6.4,.502,17.9,31.2,.198
343,Western Carolina,27,11,16,.407,-6.90,-1.50,,4,13,,6,5,,4,9,,2039,2129,,72.2,106.7,.272,.398,.558,50.4,48.0,9.8,7.8,.537,14.4,24.5,.188
344,Western Illinois,22,7,15,.318,-12.87,-5.01,,5,9,,2,5,,4,9,,1606,1746,,73.5,108.0,.382,.341,.575,48.9,51.0,7.9,10.5,.540,14.9,22.9,.278
345,Western Kentucky,28,21,7,.750,5.57,0.46,,11,3,,11,2,,5,3,,2043,1900,,69.2,97.2,.224,.396,.519,45.2,49.4,9.7,10.1,.491,16.8,24.2,.166
346,Western Michigan,21,5,16,.238,-10.76,-0.46,,4,12,,2,9,,3,7,,1325,1511,,68.3,105.4,.251,.384,.523,51.8,41.6,11.4,7.2,.494,12.8,28.8,.182
347,Wichita State NCAA,21,16,5,.762,9.45,6.81,,11,2,,10,2,,5,2,,1520,1416,,68.8,96.9,.284,.383,.490,51.0,50.5,7.9,7.7,.459,15.9,32.3,.194
348,William & Mary,17,7,10,.412,-10.29,-3.06,,4,6,,1,3,,5,6,,1101,1224,,67.2,106.3,.238,.347,.536,51.6,52.7,10.4,14.9,.510,14.6,31.8,.173
349,Winthrop NCAA,24,23,1,.958,5.13,-7.62,,17,1,,11,1,,10,0,,1909,1603,,72.8,91.8,.338,.364,.519,43.7,43.4,8.2,9.0,.490,20.2,22.0,.224
350,Wisconsin NCAA,29,17,12,.586,17.81,12.50,,10,10,,11,5,,5,6,,2019,1865,,65.7,97.0,.285,.342,.511,51.2,53.0,6.6,11.0,.479,15.8,25.1,.203
351,Wofford,24,15,9,.625,2.24,0.24,,12,5,,9,3,,6,4,,1784,1627,,67.6,99.8,.248,.422,.530,48.4,48.4,9.4,9.8,.507,16.8,26.0,.170
352,Wright State,24,18,6,.750,7.65,-6.89,,16,4,,9,4,,9,2,,1967,1618,,72.1,93.0,.218,.329,.478,43.8,44.2,9.9,5.2,.451,14.6,25.0,.153
353,Wyoming,25,14,11,.560,-1.51,-2.59,,5,9,,7,5,,4,5,,1915,1888,,69.9,106.9,.339,.311,.560,53.0,45.5,7.9,11.0,.529,16.0,27.8,.242
354,Xavier,21,13,8,.619,11.93,7.31,,6,7,,11,2,,2,5,,1571,1474,,69.5,99.8,.235,.373,.506,49.2,56.9,7.9,7.4,.476,14.2,27.3,.173
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-9.00,-7.39,,9,11,,10,5,,5,7,,2010,1950,,69.1,103.1,.262,.396,.553,48.7,52.5,8.2,7.8,.527,17.9,28.5,.188
