,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
46,UC-Santa Barbara NCAA,26,22,4,.846,5.99,-4.35,,15,3,,11,0,,8,4,,1989,1633,,67.4,92.4,.271,.316,.509,45.8,45.2,6.8,5.6,.473,18.5,22.4,.203
47,University of California,29,9,20,.310,2.46,7.32,,3,17,,6,8,,1,11,,1897,2008,,66.3,104.5,.335,.326,.556,50.6,51.5,9.3,9.0,.525,15.7,24.4,.239
48,Campbell,27,17,10,.630,-6.27,-6.79,,11,6,,9,3,,6,7,,1917,1840,,65.8,102.1,.305,.379,.548,53.8,43.7,8.5,6.7,.517,18.8,30.2,.220
49,Canisius,13,7,6,.538,-7.86,-7.09,,7,5,,3,1,,4,4,,915,925,,71.5,99.5,.316,.311,.538,51.4,44.1,7.5,9.8,.505,18.0,26.8,.228
50,Central Arkansas,24,5,19,.208,-15.03,-2.16,,4,12,,4,5,,1,14,,1701,1933,,74.0,108.8,.292,.384,.556,48.9,57.2,12.6,8.8,.526,14.1,27.6,.214
51,Central Connecticut State,21,5,16,.238,-13.07,-4.21,,5,13,,3,6,,2,9,,1439,1625,,72.0,107.5,.304,.393,.563,55.3,57.3,10.7,8.1,.539,17.4,32.6,.212
52,Central Florida,23,11,12,.478,6.03,8.25,,8,10,,6,3,,4,8,,1546,1597,,68.0,101.6,.336,.384,.525,51.1,56.9,10.1,8.1,.493,16.8,31.5,.232
53,Central Michigan,23,7,16,.304,-11.71,-3.56,,3,13,,5,7,,2,9,,1766,1835,,74.9,106.5,.269,.397,.555,51.7,52.5,8.4,9.1,.524,16.2,30.5,.203
54,Charleston Southern,21,3,18,.143,-16.16,-5.66,,2,15,,1,9,,2,8,,1375,1550,,70.2,104.6,.340,.373,.533,50.5,49.2,12.5,11.7,.508,16.0,30.5,.224
55,Charlotte,25,9,16,.360,-5.34,-2.09,,5,11,,6,7,,3,8,,1587,1668,,64.6,100.8,.235,.386,.541,50.6,53.4,10.5,10.7,.512,16.8,24.4,.180
